seq,ms,time_s,icm_ax_g,icm_ay_g,icm_az_g,icm_gx_dps,icm_gy_dps,icm_gz_dps,adxl_ax_g,adxl_ay_g,adxl_az_g,bmp_temp_c,bmp_press_pa,bmp_alt_m,attitude_valid,q0,q1,q2,q3,roll_deg,pitch_deg,yaw_deg,gyro_bias_x_dps,gyro_bias_y_dps,gyro_bias_z_dps,crc16_recorded,crc16_computed,crc_ok
0,15514,15.514,-0.876,0.129,0.506,-3.01,2.3,-5.19,0.88,-0.05,0.64,28.07,96745,388.44,1,0.707106829,0.0,0.707106829,0.0,180.0,90.0,180.0,-0.54,0.32,-0.66,62273,62273,True
1,15534,15.534,-0.856,0.112,0.5,1.92,-1.64,1.05,0.88,-0.15,0.69,28.07,96745,388.45,1,0.707994223,0.000637926,0.706217945,6.0107e-05,21.48,89.85,21.43,-0.54,0.32,-0.66,35954,35954,True
2,15554,15.554,-0.862,0.124,0.502,0.79,0.34,-0.4,0.83,-0.1,0.69,28.07,96745,388.46,1,0.708679557,0.001002492,0.705529809,9.5884e-05,19.26,89.73,19.19,-0.54,0.32,-0.66,10707,10707,True
3,15574,15.574,-0.86,0.136,0.499,1.21,0.3,-1.89,0.83,-0.05,0.78,28.07,96745,388.48,1,0.709366977,0.001253225,0.704838216,-8.4819e-05,14.52,89.62,14.41,-0.54,0.32,-0.66,37978,37978,True
4,15594,15.594,-0.855,0.122,0.496,-2.17,0.02,-2.81,0.88,-0.15,0.73,28.07,96745,388.52,1,0.710092366,0.000955265,0.70410794,1.8362e-05,9.28,89.51,9.2,-0.54,0.32,-0.66,16878,16878,True
5,15614,15.614,-0.864,0.116,0.494,1.27,-1.58,-0.14,0.83,-0.15,0.73,28.07,96744,388.54,1,0.711014926,0.001407896,0.703175426,2.282e-05,10.4,89.35,10.29,-0.54,0.32,-0.66,16686,16686,True
6,15634,15.634,-0.875,0.131,0.491,-1.91,-2.73,0.95,0.83,-0.05,0.73,28.07,96744,388.59,1,0.712076366,0.001621024,0.70209986,0.00057545,12.46,89.17,12.37,-0.54,0.32,-0.66,12564,12564,True
7,15654,15.654,-0.87,0.126,0.489,0.15,0.21,-0.95,0.88,-0.1,0.69,28.07,96744,388.56,1,0.712778151,0.001850647,0.701386809,0.000633514,12.35,89.06,12.25,-0.54,0.32,-0.66,11569,11569,True
8,15674,15.674,-0.881,0.118,0.493,2.61,-0.67,-0.01,0.83,-0.1,0.73,28.07,96745,388.52,1,0.713588417,0.002488734,0.70056051,0.000494164,12.98,88.92,12.82,-0.54,0.32,-0.66,50346,50346,True
9,15694,15.694,-0.86,0.12,0.494,-0.08,0.11,1.07,0.93,-0.1,0.73,28.07,96745,388.49,1,0.714300811,0.002924287,0.699832261,0.000821238,14.6,88.79,14.43,-0.54,0.32,-0.66,65224,65224,True
10,15714,15.714,-0.86,0.133,0.495,1.5,0.05,-0.43,0.88,-0.1,0.69,28.07,96745,388.52,1,0.715017736,0.00339251,0.699097633,0.00078523,14.81,88.67,14.6,-0.54,0.32,-0.66,64014,64014,True
11,15734,15.734,-0.86,0.106,0.496,0.61,-0.9,-1.18,0.83,-0.15,0.69,28.07,96744,388.53,1,0.715855896,0.003618974,0.698238194,0.000726398,13.97,88.53,13.74,-0.54,0.32,-0.66,36342,36342,True
12,15754,15.754,-0.857,0.129,0.481,0.88,-2.95,1.27,0.88,-0.1,0.69,28.07,96745,388.51,1,0.716938794,0.004217877,0.697122633,0.000978627,14.83,88.34,14.56,-0.54,0.32,-0.66,29592,29592,True
13,15774,15.774,-0.863,0.128,0.493,-0.5,-1.75,-1.47,0.83,-0.2,0.69,28.08,96745,388.48,1,0.717876017,0.004304655,0.696156919,0.001050562,13.98,88.19,13.72,-0.54,0.32,-0.66,59912,59912,True
14,15794,15.794,-0.855,0.131,0.485,0.4,-0.53,-0.35,0.88,-0.05,0.64,28.07,96745,388.49,1,0.71866256,0.00464649,0.695342422,0.001161366,14.13,88.05,13.84,-0.54,0.32,-0.66,33015,33015,True
15,15814,15.814,-0.873,0.122,0.494,0.03,0.78,0.15,0.88,-0.15,0.78,28.07,96745,388.48,1,0.719293356,0.004985395,0.694687188,0.001363758,14.62,87.94,14.32,-0.54,0.32,-0.66,48387,48387,True
16,15834,15.834,-0.895,0.14,0.503,1.6,-0.67,0.04,0.88,-0.2,0.64,28.07,96745,388.5,1,0.720095515,0.00553196,0.69385159,0.001382847,14.93,87.8,14.59,-0.54,0.32,-0.66,57634,57634,True
17,15854,15.854,-0.833,0.102,0.452,7.83,1.09,-20.15,0.93,-0.15,0.73,28.07,96745,388.48,1,0.720686495,0.004376121,0.693244576,-0.001928211,5.35,87.77,4.84,-0.54,0.32,-0.66,16073,16073,True
18,15874,15.874,-0.863,0.115,0.505,-0.05,-5.53,0.69,0.88,-0.1,0.69,28.07,96745,388.48,1,0.722079396,0.004763443,0.691791773,-0.001660344,6.11,87.53,5.59,-0.54,0.32,-0.66,32506,32506,True
19,15894,15.894,-0.872,0.141,0.483,-1.02,1.04,1.87,0.83,-0.05,0.69,28.07,96745,388.51,1,0.722675502,0.005221395,0.691166878,-0.001074589,7.75,87.42,7.24,-0.54,0.32,-0.66,31014,31014,True
20,15914,15.914,-0.81,0.12,0.487,-0.24,1.92,0.31,0.83,-0.05,0.73,28.07,96745,388.47,1,0.723162949,0.005552771,0.690654695,-0.000814726,8.55,87.34,8.03,-0.54,0.32,-0.66,5177,5177,True
21,15934,15.934,-0.865,0.113,0.49,-0.44,2.85,-0.85,0.83,-0.15,0.73,28.07,96745,388.49,1,0.723544359,0.005706675,0.690253973,-0.000686005,8.84,87.27,8.32,-0.54,0.32,-0.66,18748,18748,True
22,15954,15.954,-0.888,0.129,0.496,-1.19,-0.18,0.18,0.93,-0.15,0.69,28.07,96745,388.49,1,0.724290431,0.005913142,0.689469635,-0.000317452,9.38,87.14,8.88,-0.54,0.32,-0.66,37440,37440,True
23,15974,15.974,-0.86,0.119,0.474,0.14,0.69,-3.7,0.83,0.0,0.69,28.07,96745,388.45,1,0.724931061,0.005813349,0.688796699,-0.000605345,8.46,87.04,7.94,-0.54,0.32,-0.66,45885,45885,True
24,15994,15.994,-0.854,0.137,0.499,-1.2,-0.89,2.22,0.88,-0.1,0.73,28.07,96745,388.49,1,0.725757062,0.006275156,0.687922478,3.2009e-05,9.72,86.89,9.21,-0.54,0.32,-0.66,56096,56096,True
25,16014,16.014,-0.865,0.123,0.501,-1.65,2.02,-0.95,0.88,-0.15,0.73,28.07,96745,388.51,1,0.726237774,0.006274939,0.687414825,0.000303252,9.86,86.81,9.37,-0.54,0.32,-0.66,29554,29554,True
26,16034,16.034,-0.864,0.121,0.491,0.12,1.99,0.1,0.88,-0.15,0.73,28.07,96744,388.56,1,0.726720631,0.00662646,0.686901033,0.000495891,10.39,86.72,9.89,-0.54,0.32,-0.66,55512,55512,True
27,16054,16.054,-0.87,0.133,0.496,-2.83,3.69,-1.27,0.88,-0.15,0.69,28.07,96744,388.56,1,0.726999819,0.006455896,0.686606765,0.000888438,10.53,86.67,10.08,-0.54,0.32,-0.66,21863,21863,True
28,16074,16.074,-0.858,0.154,0.494,-1.75,3.66,-0.16,0.78,-0.05,0.69,28.07,96745,388.52,1,0.72727567,0.006588273,0.686312616,0.001322153,11.14,86.62,10.72,-0.54,0.32,-0.66,54300,54300,True
29,16094,16.094,-0.861,0.105,0.508,-2.82,-1.72,-2.54,0.83,-0.15,0.69,28.07,96744,388.57,1,0.728208065,0.006218308,0.685326278,0.001498509,10.39,86.47,10.01,-0.54,0.32,-0.66,7041,7041,True
30,16114,16.114,-0.874,0.125,0.489,-3.85,0.85,-0.76,0.88,-0.1,0.64,28.07,96744,388.6,1,0.728831887,0.00597226,0.684663594,0.002066539,10.47,86.36,10.16,-0.54,0.32,-0.66,7926,7926,True
31,16134,16.134,-0.866,0.139,0.486,-1.53,0.73,-4.25,0.83,-0.1,0.73,28.07,96744,388.58,1,0.729464829,0.005624924,0.683992326,0.00193334,9.59,86.26,9.29,-0.54,0.32,-0.66,49256,49256,True
32,16154,16.154,-0.845,0.138,0.499,-3.13,0.12,-4.59,0.78,-0.1,0.69,28.07,96745,388.5,1,0.730168521,0.005028958,0.683245838,0.001940741,8.57,86.16,8.32,-0.54,0.32,-0.66,55639,55639,True
33,16174,16.174,-0.861,0.114,0.514,-1.6,1.15,-0.48,0.83,-0.05,0.69,28.07,96744,388.54,1,0.730752409,0.005077697,0.682619929,0.002251352,8.77,86.05,8.54,-0.54,0.32,-0.66,14011,14011,True
34,16194,16.194,-0.874,0.123,0.5,-0.48,-0.25,-3.05,0.88,-0.05,0.64,28.08,96745,388.44,1,0.731503129,0.004983291,0.681816638,0.00211721,8.25,85.93,8.02,-0.54,0.32,-0.66,61127,61127,True
35,16214,16.214,-0.862,0.125,0.494,-1.06,1.85,-1.09,0.88,-0.15,0.69,28.08,96745,388.48,1,0.732001185,0.005056316,0.681280673,0.002311506,8.38,85.85,8.15,-0.54,0.32,-0.66,52319,52319,True
36,16234,16.234,-0.871,0.123,0.492,-2.32,0.78,-3.01,0.83,-0.1,0.73,28.08,96745,388.48,1,0.73263061,0.004737762,0.680605769,0.002407104,7.91,85.74,7.73,-0.54,0.32,-0.66,8114,8114,True
37,16254,16.254,-0.879,0.113,0.487,-1.13,1.36,-0.1,0.88,-0.15,0.73,28.08,96745,388.47,1,0.733192027,0.004904917,0.679998517,0.002721286,8.25,85.64,8.07,-0.54,0.32,-0.66,31472,31472,True
38,16274,16.274,-0.863,0.124,0.488,-1.32,0.54,-0.04,0.78,-0.1,0.69,28.08,96745,388.49,1,0.733846366,0.005071593,0.67928952,0.003080745,8.58,85.53,8.42,-0.54,0.32,-0.66,35197,35197,True
39,16294,16.294,-0.869,0.129,0.487,0.31,3.21,0.24,0.88,-0.15,0.78,28.08,96745,388.48,1,0.73418206,0.00548952,0.678922474,0.003294118,9.12,85.46,8.94,-0.54,0.32,-0.66,58384,58384,True
40,16314,16.314,-0.896,0.13,0.501,-1.08,1.18,-1.77,0.83,-0.1,0.69,28.08,96745,388.48,1,0.734761119,0.005484537,0.678295255,0.003408272,9.03,85.37,8.87,-0.54,0.32,-0.66,49474,49474,True
41,16334,16.334,-0.857,0.12,0.48,-0.16,-1.21,-0.02,0.83,-0.2,0.69,28.08,96745,388.5,1,0.735622942,0.005800167,0.67735666,0.003628723,9.28,85.22,9.1,-0.54,0.32,-0.66,16248,16248,True
42,16354,16.354,-0.868,0.114,0.501,-0.57,-1.76,1.74,0.88,-0.1,0.73,28.08,96745,388.52,1,0.736548781,0.006252071,0.676343024,0.004105842,9.85,85.05,9.67,-0.54,0.32,-0.66,31922,31922,True
43,16374,16.374,-0.857,0.114,0.5,-2.11,-1.09,2.38,0.88,-0.1,0.73,28.08,96745,388.51,1,0.737394929,0.006580611,0.675412416,0.00484739,10.52,84.89,10.38,-0.54,0.32,-0.66,63955,63955,True
44,16394,16.394,-0.843,0.116,0.485,2.16,-0.37,-4.6,0.83,-0.05,0.69,28.08,96744,388.58,1,0.738156497,0.006642056,0.674583852,0.004194691,9.77,84.77,9.57,-0.54,0.32,-0.66,47344,47344,True
45,16414,16.414,-0.869,0.128,0.488,0.76,-4.41,0.44,0.83,-0.1,0.73,28.08,96744,388.53,1,0.739388883,0.007144213,0.673226476,0.004371975,9.99,84.56,9.76,-0.54,0.32,-0.66,48940,48940,True
46,16434,16.434,-0.864,0.136,0.495,1.0,-1.16,0.51,0.88,-0.15,0.73,28.08,96744,388.55,1,0.740234375,0.007693738,0.67228955,0.004544639,10.34,84.4,10.08,-0.54,0.32,-0.66,41376,41376,True
47,16454,16.454,-0.849,0.127,0.483,1.28,-0.06,0.32,0.73,-0.1,0.73,28.08,96744,388.58,1,0.740952075,0.008245442,0.671491146,0.004651339,10.66,84.27,10.37,-0.54,0.32,-0.66,29924,29924,True
48,16474,16.474,-0.861,0.129,0.5,0.71,0.75,-2.24,0.88,-0.1,0.73,28.08,96744,388.55,1,0.741576731,0.008416469,0.670800209,0.004490322,10.49,84.17,10.18,-0.54,0.32,-0.66,43037,43037,True
49,16494,16.494,-0.881,0.119,0.496,-0.6,-1.83,1.69,0.88,-0.15,0.64,28.08,96745,388.48,1,0.742506325,0.008865941,0.669761837,0.004975423,10.93,84.0,10.62,-0.54,0.32,-0.66,61583,61583,True
50,16514,16.514,-0.848,0.113,0.487,1.2,-1.6,-1.18,0.93,-0.15,0.69,28.08,96745,388.48,1,0.743407011,0.009204546,0.668758214,0.004871038,10.85,83.84,10.5,-0.54,0.32,-0.66,9778,9778,True
51,16534,16.534,-0.877,0.134,0.489,0.34,1.04,-2.37,0.93,-0.05,0.69,28.08,96745,388.49,1,0.74399817,0.009328891,0.668099701,0.00475165,10.7,83.74,10.32,-0.54,0.32,-0.66,751,751,True
52,16554,16.554,-0.874,0.128,0.506,-0.14,-1.98,0.42,0.83,-0.1,0.69,28.08,96745,388.51,1,0.744939446,0.009700773,0.667042613,0.005027574,10.9,83.57,10.52,-0.54,0.32,-0.66,44465,44465,True
53,16574,16.574,-0.868,0.126,0.5,1.03,0.78,0.38,0.88,-0.24,0.69,28.08,96745,388.51,1,0.745557487,0.010217818,0.666342914,0.005167333,11.2,83.46,10.79,-0.54,0.32,-0.66,51358,51358,True
54,16594,16.594,-0.85,0.138,0.49,-0.42,-1.33,-2.65,0.88,-0.2,0.69,28.08,96745,388.48,1,0.746421635,0.010220612,0.665375292,0.005100912,10.91,83.31,10.5,-0.54,0.32,-0.66,6553,6553,True
55,16614,16.614,-0.858,0.129,0.486,0.85,0.04,0.18,0.88,-0.1,0.69,28.08,96745,388.48,1,0.74712503,0.010704372,0.66457665,0.005246883,11.16,83.18,10.72,-0.54,0.32,-0.66,65179,65179,True
56,16634,16.634,-0.877,0.121,0.494,-0.03,-1.47,0.69,0.93,-0.15,0.78,28.08,96745,388.47,1,0.748007655,0.011114115,0.663573921,0.005541107,11.38,83.02,10.93,-0.54,0.32,-0.66,19098,19098,True
57,16654,16.654,-0.844,0.131,0.485,1.89,-0.89,2.27,0.88,-0.05,0.73,28.08,96745,388.5,1,0.74881196,0.011980521,0.662648439,0.005840318,11.93,82.87,11.44,-0.54,0.32,-0.66,55394,55394,True
58,16674,16.674,-0.872,0.126,0.481,-0.11,-0.6,0.08,0.83,-0.05,0.69,28.08,96745,388.51,1,0.74959147,0.012322809,0.661758125,0.006081074,12.09,82.72,11.58,-0.54,0.32,-0.66,27992,27992,True
59,16694,16.694,-0.878,0.126,0.489,-0.28,-2.76,0.53,0.83,-0.1,0.73,28.08,96745,388.52,1,0.750620842,0.012692202,0.660580397,0.006391203,12.22,82.54,11.71,-0.54,0.32,-0.66,12976,12976,True
60,16714,16.714,-0.857,0.115,0.484,0.19,1.76,3.4,0.88,-0.15,0.73,28.08,96744,388.54,1,0.751124561,0.013429135,0.659986615,0.007015171,12.9,82.43,12.38,-0.54,0.32,-0.66,44698,44698,True
61,16734,16.734,-0.85,0.128,0.491,-1.83,0.19,-1.39,0.83,-0.1,0.69,28.09,96745,388.49,1,0.751815438,0.013368352,0.659198105,0.007258038,12.8,82.31,12.31,-0.54,0.32,-0.66,36763,36763,True
62,16754,16.754,-0.851,0.131,0.493,-1.8,-0.3,-2.99,0.83,-0.1,0.78,28.09,96745,388.49,1,0.752563179,0.013133136,0.658348739,0.007290098,12.47,82.18,11.99,-0.54,0.32,-0.66,4103,4103,True
63,16774,16.774,-0.861,0.128,0.508,0.11,-0.49,-1.21,0.88,-0.15,0.73,28.09,96745,388.5,1,0.753326356,0.01334239,0.657470703,0.007324915,12.41,82.05,11.92,-0.54,0.32,-0.66,63776,63776,True
64,16794,16.794,-0.861,0.118,0.493,-1.07,2.32,-3.02,0.83,-0.1,0.69,28.09,96745,388.52,1,0.753775299,0.013174787,0.65696013,0.007253689,12.16,81.98,11.67,-0.54,0.32,-0.66,61070,61070,True
65,16814,16.814,-0.862,0.13,0.487,-2.88,-0.18,1.62,0.83,-0.1,0.69,28.09,96745,388.46,1,0.754505277,0.013333826,0.656109393,0.00801999,12.46,81.83,12.03,-0.54,0.32,-0.66,8511,8511,True
66,16834,16.834,-0.851,0.121,0.494,0.29,0.33,-1.78,0.88,-0.1,0.69,28.09,96745,388.49,1,0.755176187,0.013495723,0.655334651,0.007955866,12.35,81.72,11.9,-0.54,0.32,-0.66,27348,27348,True
67,16854,16.854,-0.866,0.124,0.488,-0.27,2.44,-1.11,0.78,0.0,0.78,28.09,96745,388.49,1,0.755605638,0.01366921,0.654834509,0.008060175,12.4,81.64,11.94,-0.54,0.32,-0.66,36449,36449,True
68,16874,16.874,-0.883,0.136,0.498,-2.41,0.55,1.33,0.88,-0.1,0.73,28.09,96745,388.47,1,0.756250203,0.013860508,0.654077232,0.008742289,12.68,81.51,12.27,-0.54,0.32,-0.66,31302,31302,True
69,16894,16.894,-0.874,0.122,0.481,-1.77,0.92,0.38,0.88,-0.05,0.73,28.09,96745,388.49,1,0.756856143,0.014006292,0.653366446,0.009209337,12.84,81.4,12.45,-0.54,0.32,-0.66,38316,38316,True
70,16914,16.914,-0.861,0.129,0.496,-0.44,1.41,-2.24,0.88,-0.1,0.69,28.09,96745,388.5,1,0.757403135,0.014034888,0.652731955,0.009183947,12.7,81.3,12.31,-0.54,0.32,-0.66,45842,45842,True
71,16934,16.934,-0.859,0.107,0.486,-1.08,-0.12,-1.74,0.88,-0.1,0.78,28.09,96745,388.48,1,0.758132398,0.013996568,0.651884675,0.009259796,12.54,81.18,12.15,-0.54,0.32,-0.66,46997,46997,True
72,16954,16.954,-0.857,0.117,0.494,-2.19,2.64,-3.54,0.88,-0.1,0.73,28.09,96745,388.45,1,0.758548796,0.013621122,0.651408255,0.009245649,12.23,81.11,11.87,-0.54,0.32,-0.66,41687,41687,True
73,16974,16.974,-0.858,0.125,0.488,-1.08,1.4,-2.19,0.83,-0.15,0.73,28.09,96745,388.45,1,0.759098649,0.013572793,0.650767624,0.009299785,12.1,81.02,11.75,-0.54,0.32,-0.66,55650,55650,True
74,16994,16.994,-0.865,0.127,0.509,-0.66,0.21,-3.18,0.88,-0.15,0.69,28.09,96745,388.48,1,0.759783208,0.013462229,0.649972498,0.009165328,11.82,80.91,11.47,-0.54,0.32,-0.66,53436,53436,True
75,17014,17.014,-0.861,0.12,0.5,-0.13,0.3,-2.69,0.83,-0.1,0.78,28.09,96745,388.45,1,0.760457754,0.013469169,0.649184883,0.009028059,11.61,80.79,11.25,-0.54,0.32,-0.66,2572,2572,True
76,17034,17.034,-0.867,0.123,0.494,-0.67,2.77,-0.6,0.83,-0.1,0.78,28.09,96745,388.46,1,0.760849416,0.013649366,0.648719072,0.009245289,11.72,80.72,11.36,-0.54,0.32,-0.66,21718,21718,True
77,17054,17.054,-0.868,0.136,0.481,0.1,1.76,-0.73,0.93,-0.2,0.69,28.09,96745,388.48,1,0.761350632,0.013954794,0.648122132,0.009386204,11.83,80.62,11.46,-0.54,0.32,-0.66,11810,11810,True
78,17074,17.074,-0.872,0.115,0.487,0.03,1.01,-1.46,0.88,-0.15,0.73,28.09,96746,388.42,1,0.761944771,0.014120631,0.64741993,0.009394865,11.8,80.52,11.41,-0.54,0.32,-0.66,46189,46189,True
79,17094,17.094,-0.869,0.128,0.479,-1.43,0.64,-0.64,0.93,-0.15,0.69,28.09,96746,388.42,1,0.762578011,0.014220512,0.646667063,0.009705839,11.85,80.4,11.48,-0.54,0.32,-0.66,20913,20913,True
80,17114,17.114,-0.873,0.127,0.502,-0.86,1.34,-3.44,0.88,-0.1,0.69,28.09,96745,388.49,1,0.763135076,0.014060667,0.646015167,0.009567069,11.59,80.31,11.22,-0.54,0.32,-0.66,38517,38517,True
81,17134,17.134,-0.862,0.131,0.488,-1.8,1.5,-2.61,0.88,-0.1,0.73,28.1,96745,388.45,1,0.763673007,0.013888329,0.64538151,0.009660253,11.43,80.22,11.09,-0.54,0.32,-0.66,18859,18859,True
82,17154,17.154,-0.864,0.122,0.479,0.62,1.82,2.6,0.88,-0.1,0.73,28.1,96746,388.43,1,0.764163911,0.014614205,0.644776464,0.010165758,11.91,80.11,11.54,-0.54,0.32,-0.66,15811,15811,True
83,17174,17.174,-0.874,0.119,0.493,2.29,-0.66,-1.47,0.88,-0.15,0.78,28.1,96746,388.43,1,0.764938056,0.015089476,0.643850684,0.009918725,11.88,79.97,11.46,-0.54,0.32,-0.66,45904,45904,True
84,17194,17.194,-0.864,0.129,0.494,-0.05,-2.84,-1.98,0.88,-0.2,0.69,28.1,96746,388.39,1,0.765958786,0.015222211,0.642633438,0.009879479,11.72,79.79,11.29,-0.54,0.32,-0.66,60106,60106,True
85,17214,17.214,-0.86,0.122,0.504,0.4,-2.78,-1.36,0.83,-0.15,0.69,28.1,96746,388.42,1,0.766970932,0.015462302,0.641419828,0.009855008,11.63,79.61,11.17,-0.54,0.32,-0.66,49848,49848,True
86,17234,17.234,-0.86,0.124,0.496,0.78,-2.73,-0.41,0.83,-0.05,0.69,28.1,96746,388.41,1,0.767972648,0.015871499,0.640209079,0.009924167,11.66,79.42,11.17,-0.54,0.32,-0.66,44136,44136,True
87,17254,17.254,-0.871,0.132,0.498,0.27,0.53,0.66,0.93,-0.1,0.73,28.1,96745,388.47,1,0.768606365,0.016345734,0.639431477,0.010219606,11.87,79.3,11.37,-0.54,0.32,-0.66,15569,15569,True
88,17274,17.274,-0.852,0.128,0.488,-0.92,-1.2,-2.35,0.83,-0.1,0.73,28.1,96745,388.5,1,0.769442439,0.016321648,0.638425589,0.010235139,11.71,79.15,11.21,-0.54,0.32,-0.66,38856,38856,True
89,17294,17.294,-0.857,0.122,0.487,-0.39,-1.25,2.66,0.83,-0.1,0.64,28.1,96744,388.56,1,0.770275414,0.016917469,0.637394607,0.010854746,12.05,78.98,11.56,-0.54,0.32,-0.66,9840,9840,True
90,17314,17.314,-0.869,0.122,0.488,2.84,1.06,0.47,0.83,-0.15,0.78,28.1,96745,388.5,1,0.770845711,0.017694518,0.63668412,0.010823664,12.28,78.87,11.72,-0.54,0.32,-0.66,34937,34937,True
91,17334,17.334,-0.85,0.124,0.491,-0.05,-3.2,-1.55,0.83,-0.1,0.73,28.1,96745,388.49,1,0.77189976,0.017865337,0.635400951,0.010830398,12.16,78.68,11.59,-0.54,0.32,-0.66,17889,17889,True
92,17354,17.354,-0.869,0.128,0.49,-0.27,-1.96,1.47,0.88,-0.15,0.73,28.1,96744,388.55,1,0.772809625,0.018355468,0.634272099,0.011283574,12.36,78.5,11.79,-0.54,0.32,-0.66,41281,41281,True
93,17374,17.374,-0.868,0.106,0.491,2.02,-0.73,1.08,0.83,-0.05,0.69,28.1,96744,388.55,1,0.773582339,0.019051429,0.63330698,0.011388213,12.56,78.35,11.93,-0.54,0.32,-0.66,21425,21425,True
94,17394,17.394,-0.862,0.137,0.49,1.08,-0.22,0.44,0.83,-0.05,0.73,28.1,96744,388.54,1,0.774292171,0.019624056,0.632417917,0.011575905,12.73,78.21,12.07,-0.54,0.32,-0.66,1046,1046,True
95,17414,17.414,-0.867,0.114,0.501,1.25,-3.24,-2.6,0.88,-0.1,0.73,28.1,96745,388.47,1,0.775348723,0.019824181,0.631121576,0.011269271,12.51,78.02,11.82,-0.54,0.32,-0.66,15259,15259,True
96,17434,17.434,-0.863,0.125,0.484,0.14,1.35,-0.42,0.88,-0.1,0.64,28.11,96745,388.49,1,0.775893569,0.020147221,0.630438447,0.011430074,12.6,77.92,11.89,-0.54,0.32,-0.66,647,647,True
97,17454,17.454,-0.865,0.124,0.499,1.95,-1.71,1.02,0.83,-0.15,0.69,28.1,96744,388.53,1,0.776765823,0.020865897,0.629337549,0.011564454,12.78,77.75,12.03,-0.54,0.32,-0.66,16681,16681,True
98,17474,17.474,-0.86,0.121,0.483,-0.28,-0.66,3.21,0.88,-0.05,0.78,28.1,96744,388.53,1,0.777526915,0.021523021,0.628361821,0.012247799,13.13,77.58,12.38,-0.54,0.32,-0.66,60570,60570,True
99,17494,17.494,-0.875,0.126,0.487,-0.76,-0.61,0.34,0.83,-0.1,0.64,28.1,96745,388.48,1,0.778288543,0.021806134,0.627401471,0.01260124,13.22,77.43,12.47,-0.54,0.32,-0.66,64764,64764,True
100,17514,17.514,-0.866,0.126,0.497,1.45,1.16,-0.33,0.83,-0.1,0.73,28.1,96745,388.47,1,0.778847992,0.022305617,0.626688838,0.012622296,13.32,77.32,12.53,-0.54,0.32,-0.66,53067,53067,True
101,17534,17.534,-0.862,0.122,0.486,0.72,1.53,3.24,0.88,-0.1,0.73,28.1,96745,388.52,1,0.779363453,0.023089867,0.626007259,0.013206693,13.72,77.2,12.91,-0.54,0.32,-0.66,10444,10444,True
102,17554,17.554,-0.867,0.123,0.485,-2.62,1.0,-2.03,0.88,-0.15,0.69,28.1,96744,388.55,1,0.779962003,0.022843478,0.625265419,0.013437581,13.58,77.1,12.82,-0.54,0.32,-0.66,14094,14094,True
103,17574,17.574,-0.862,0.131,0.493,-1.79,-1.92,-4.15,0.88,-0.1,0.73,28.1,96744,388.54,1,0.780876279,0.022505011,0.624138713,0.013291808,13.24,76.94,12.49,-0.54,0.32,-0.66,5764,5764,True
104,17594,17.594,-0.856,0.115,0.497,-1.18,-0.21,-1.23,0.88,-0.1,0.73,28.1,96744,388.57,1,0.781599581,0.022521753,0.62322861,0.013450146,13.17,76.81,12.43,-0.54,0.32,-0.66,56031,56031,True
105,17614,17.614,-0.871,0.126,0.488,-2.02,2.88,0.82,0.93,-0.2,0.73,28.1,96744,388.58,1,0.781981707,0.022678541,0.622730851,0.014020646,13.33,76.73,12.62,-0.54,0.32,-0.66,11277,11277,True
106,17634,17.634,-0.863,0.129,0.497,-1.58,2.29,-2.75,0.88,-0.15,0.64,28.1,96745,388.5,1,0.782432914,0.022508452,0.622169197,0.014055246,13.2,76.65,12.51,-0.54,0.32,-0.66,1611,1611,True
107,17654,17.654,-0.856,0.125,0.491,-2.03,0.59,-1.02,0.88,0.0,0.73,28.1,96744,388.56,1,0.783067584,0.022462742,0.621364832,0.01436263,13.16,76.53,12.5,-0.54,0.32,-0.66,844,844,True
108,17674,17.674,-0.85,0.127,0.487,-4.18,1.98,-1.84,0.93,-0.1,0.73,28.1,96744,388.56,1,0.783559501,0.022040004,0.620749176,0.01480484,13.05,76.44,12.46,-0.54,0.32,-0.66,27036,27036,True
109,17694,17.694,-0.858,0.131,0.491,-2.24,2.05,-1.14,0.83,-0.1,0.64,28.1,96745,388.52,1,0.784033954,0.021969013,0.620144248,0.015140478,13.04,76.35,12.48,-0.54,0.32,-0.66,44266,44266,True
110,17714,17.714,-0.868,0.122,0.49,-1.56,1.26,-3.0,0.88,-0.05,0.73,28.1,96744,388.56,1,0.78459996,0.021767434,0.619435489,0.015123776,12.86,76.25,12.32,-0.54,0.32,-0.66,30773,30773,True
111,17734,17.734,-0.861,0.132,0.491,-1.87,-0.26,-0.27,0.93,-0.1,0.69,28.1,96744,388.54,1,0.785318732,0.021854896,0.618510723,0.015533525,12.89,76.11,12.38,-0.54,0.32,-0.66,8528,8528,True
112,17754,17.754,-0.867,0.126,0.494,1.01,0.62,1.47,0.88,-0.1,0.73,28.1,96745,388.51,1,0.785929143,0.022504885,0.617703259,0.015860675,13.12,75.98,12.58,-0.54,0.32,-0.66,45572,45572,True
113,17774,17.774,-0.858,0.132,0.49,-0.99,2.6,0.5,0.83,-0.15,0.73,28.1,96745,388.49,1,0.786333859,0.022785414,0.617166519,0.01629149,13.27,75.9,12.74,-0.54,0.32,-0.66,3534,3534,True
114,17794,17.794,-0.862,0.12,0.486,-1.7,0.68,-2.85,0.88,-0.1,0.73,28.1,96745,388.5,1,0.786962807,0.0225778,0.616371512,0.016304661,13.1,75.79,12.58,-0.54,0.32,-0.66,4266,4266,True
